ANONYMIZED ID;TEST FEB;PRACTICAL EX FEB;PRACTICES FEB;FINAL FEB;TEST SEPT;PRACTICAL EX SEPT;PRACTICES SEPT;FINAL SEPT;YEAR
2mmPe;NA;NA;NA;NA;NA;NA;NA;NA;2017
d4DLo;3,00;0,00;0,00;0,90;NA;NA;NA;NA;2017
d4DLo;8,00;3,00;0,90;5,10;NA;NA;NA;NA;2018
OZ/jF;NA;NA;NA;NA;NA;NA;NA;NA;2015
/0G51;NA;NA;NA;NA;NA;NA;NA;NA;2018
AnshO;3,00;0,00;0,40;0,90;NA;NA;NA;NA;2018
tRE1P;2,00;NA;0,00;0,60;NA;NA;NA;NA;2015
tRE1P;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2016
2c40c;NA;NA;NA;NA;NA;NA;NA;NA;2014
0XIUl;5,00;0,00;0,00;1,50;NA;NA;NA;NA;2018
fYzI4;6,00;NA;0,00;1,80;NA;NA;NA;NA;2015
gCXeM;7,00;0,00;0,00;2,10;NA;NA;NA;NA;2017
oioED;8,00;2,00;0,00;3,60;NA;NA;NA;NA;2017
qS1f2;6,00;2,00;0,80;3,80;9,00;0,80;9,17;9,00;2017
H6bZ8;NA;NA;NA;NA;NA;NA;NA;NA;2012
C9TNb;7,00;5,33;0,70;6,00;NA;NA;NA;NA;2016
uHzkU;NA;NA;NA;NA;NA;NA;NA;NA;2016
heBPj;NA;NA;NA;NA;NA;NA;NA;NA;2013
vIwoX;6,00;0,00;0,00;1,80;NA;NA;NA;NA;2012
K3G82;NA;NA;NA;NA;NA;NA;NA;NA;2012
gqUmg;NA;NA;NA;NA;NA;NA;NA;NA;2011
gqUmg;NA;NA;NA;NA;NA;NA;NA;NA;2014
gKA7d;NA;NA;NA;NA;NA;NA;NA;NA;2013
qIF8h;NA;NA;NA;NA;NA;NA;NA;NA;2013
EQy1k;NA;NA;NA;NA;NA;NA;NA;NA;2014
zqNQW;NA;NA;NA;NA;NA;NA;NA;NA;2014
JbkYL;NA;NA;NA;NA;NA;NA;NA;NA;2016
JbkYL;NA;NA;NA;NA;NA;NA;NA;NA;2017
M/OlY;NA;NA;NA;NA;NA;NA;NA;NA;2012
UcVPV;NA;NA;NA;NA;NA;NA;NA;NA;2016
nOOmb;NA;NA;NA;NA;NA;NA;NA;NA;2015
r8AnS;0,00;0,00;0,00;0,00;NA;NA;NA;NA;2013
r8AnS;NA;NA;NA;NA;NA;NA;NA;NA;2014
DswR6;NA;NA;NA;NA;NA;NA;NA;NA;2014
r01QX;NA;NA;NA;NA;NA;NA;NA;NA;2018
j/MMR;NA;NA;NA;NA;NA;NA;NA;NA;2015
j/MMR;NA;NA;NA;NA;NA;NA;NA;NA;2016
j/MMR;NA;NA;NA;NA;NA;NA;NA;NA;2017
47wfy;NA;NA;NA;NA;NA;NA;NA;NA;2011
gE47W;7,00;9,00;0,90;8,40;NA;NA;NA;NA;2018
ssnrj;9,00;10,00;0,00;8,70;NA;NA;NA;NA;2012
7VzL2;4,00;NA;0,00;1,20;NA;NA;NA;NA;2014
kIH0j;NA;NA;NA;NA;NA;NA;NA;NA;2012
NelEM;NA;NA;NA;NA;NA;NA;NA;NA;2011
Ops/k;NA;NA;NA;NA;NA;NA;NA;NA;2015
oLlmV;NA;NA;NA;NA;NA;NA;NA;NA;2015
6+xFH;7,00;0,00;0,00;2,10;3,00;0,00;0,00;0,90;2012
6+xFH;NA;NA;NA;NA;NA;NA;NA;NA;2013
gswvr;6,00;NA;0,00;1,80;NA;NA;NA;NA;2014
l0gmr;NA;NA;NA;NA;NA;NA;NA;NA;2014
JmIfl;9,00;9,17;0,80;9,00;NA;NA;NA;NA;2014
l8qgU;8,00;NA;0,80;8,00;NA;NA;NA;NA;2015
4bvqZ;6,00;0,00;0,00;1,80;NA;NA;NA;NA;2016
+d8Qf;NA;NA;NA;NA;NA;NA;NA;NA;2016
zgQ6G;NA;NA;NA;NA;NA;NA;NA;NA;2017
8I2qF;NA;NA;NA;NA;NA;NA;NA;NA;2013
Tn4KN;NA;NA;NA;NA;NA;NA;NA;NA;2016
Tn4KN;NA;NA;NA;NA;NA;NA;NA;NA;2018
Xce8G;NA;NA;NA;NA;NA;NA;NA;NA;2011
+PGh0;2,00;NA;0,00;0,60;NA;NA;NA;NA;2014
ODaOy;5,00;4,17;1,00;5,00;NA;NA;NA;NA;2016
vx3df;1,00;0,00;NA;0,30;NA;NA;NA;NA;2011
KdbyU;NA;NA;NA;NA;NA;NA;NA;NA;2015
L6iDS;NA;NA;NA;NA;NA;NA;NA;NA;2016
jEsBA;9,00;8,83;0,00;8,00;NA;NA;NA;NA;2013
l+oCu;NA;NA;NA;NA;NA;NA;NA;NA;2016
/95g0;NA;NA;NA;NA;NA;NA;NA;NA;2014
/95g0;NA;NA;NA;NA;NA;NA;NA;NA;2016
pjuSO;NA;NA;NA;NA;NA;NA;NA;NA;2014
FiWCe;NA;NA;NA;NA;NA;NA;NA;NA;2012
FiWCe;NA;NA;NA;NA;NA;NA;NA;NA;2013
FiWCe;NA;NA;NA;NA;NA;NA;NA;NA;2014
BVx+k;NA;NA;NA;NA;NA;NA;NA;NA;2015
anDf4;NA;NA;NA;NA;NA;NA;NA;NA;2017
dgtRc;3,00;0,00;0,00;0,90;NA;NA;NA;NA;2012
Eppfo;6,00;0,00;0,00;1,80;NA;NA;NA;NA;2016
68EJq;NA;NA;NA;NA;NA;NA;NA;NA;2018
4e1s4;NA;NA;NA;NA;NA;NA;NA;NA;2014
c7d6N;NA;NA;NA;NA;NA;NA;NA;NA;2014
B0iJK;NA;NA;NA;NA;NA;NA;NA;NA;2014
B0iJK;NA;NA;NA;NA;8,00;4,33;0,00;5,00;2015
+kDUX;10,00;7,00;0,80;8,00;NA;NA;NA;NA;2017
l7o5W;NA;NA;NA;NA;NA;NA;NA;NA;2011
7lClL;NA;NA;NA;NA;NA;NA;NA;NA;2017
PY/N6;NA;NA;NA;NA;NA;NA;NA;NA;2013
p/vT1;NA;NA;NA;NA;2,00;0,00;0,50;0,60;2011
D+mCK;3,00;0,00;0,00;0,90;NA;NA;NA;NA;2016
HTIlP;NA;NA;NA;NA;NA;NA;NA;NA;2015
0+QHR;NA;NA;NA;NA;NA;NA;NA;NA;2018
LOlG4;7,00;9,00;0,70;8,20;NA;NA;NA;NA;2013
3KD8b;NA;NA;NA;NA;NA;NA;NA;NA;2011
tOEIT;4,00;NA;0,00;1,20;NA;NA;NA;NA;2014
u/+qq;NA;NA;NA;NA;NA;NA;NA;NA;2012
jzP85;2,00;0,00;0,00;0,60;NA;NA;NA;NA;2017
nFaHQ;3,00;0,00;0,00;0,90;4,00;0,00;0,00;1,20;2017
nFaHQ;NA;NA;NA;NA;NA;NA;NA;NA;2018
