ANONYMIZED ID;TEST FEB;PRACTICAL EX FEB;PRACTICES FEB;FINAL FEB;TEST SEPT;PRACTICAL EX SEPT;PRACTICES SEPT;FINAL SEPT;YEAR
MfyO0;NA;0,00;0,00;7,00;NA;NA;NA;NA;2011
Bld5q;NA;NA;NA;NA;NA;NA;NA;NA;2018
q06/x;4,00;0,00;0,90;1,20;NA;NA;NA;NA;2012
q06/x;NA;NA;NA;NA;NA;NA;NA;NA;2013
RzuTW;NA;NA;NA;NA;NA;NA;NA;NA;2016
QWG4X;NA;NA;NA;NA;NA;NA;NA;NA;2015
hxi0D;NA;NA;NA;NA;NA;NA;NA;NA;2011
FP/UN;8,00;5,00;0,90;6,30;NA;NA;NA;NA;2011
d7XF7;3,00;0,00;0,00;0,90;4,00;NA;0,00;1,20;2013
L/4YH;8,00;8,00;0,60;7,80;NA;NA;NA;NA;2011
rbTE6;NA;NA;NA;NA;NA;NA;NA;NA;2014
rbTE6;NA;NA;NA;NA;NA;NA;NA;NA;2015
JckZr;5,00;0,00;0,00;1,50;NA;NA;NA;NA;2018
2Z3sC;7,00;6,83;0,80;7,00;NA;NA;NA;NA;2016
eBYxb;7,00;4,00;0,60;5,10;NA;NA;NA;NA;2014
VX97J;NA;NA;NA;NA;NA;NA;NA;NA;2013
aAGKR;NA;NA;NA;NA;NA;NA;NA;NA;2013
Rf61z;NA;NA;NA;NA;NA;NA;NA;NA;2011
Rf61z;NA;NA;NA;NA;NA;NA;NA;NA;2012
Rf61z;7,00;7,00;1,00;7,30;NA;NA;NA;NA;2013
likfa;NA;NA;NA;NA;NA;NA;NA;NA;2013
Wwpvr;NA;NA;NA;NA;NA;NA;NA;NA;2013
Wwpvr;NA;NA;NA;NA;NA;NA;NA;NA;2014
w8lo6;NA;NA;NA;NA;NA;NA;NA;NA;2012
HERxk;NA;NA;NA;NA;7,00;NA;0,00;2,10;2013
TqyCd;NA;NA;NA;NA;NA;NA;NA;NA;2016
TqyCd;NA;NA;NA;NA;NA;NA;NA;NA;2017
UIG9K;2,00;0,00;0,40;0,60;NA;NA;NA;NA;2016
5Abc+;NA;NA;NA;NA;NA;NA;NA;NA;2018
9Wb8R;NA;NA;NA;NA;NA;NA;NA;NA;2011
ZzaC/;6,00;0,00;NA;1,80;NA;NA;NA;NA;2012
ZzaC/;6,00;9,00;1,00;8,20;NA;NA;NA;NA;2013
SF2n7;NA;NA;NA;NA;NA;NA;NA;NA;2011
e/X41;6,00;1,50;0,50;3,20;NA;NA;NA;NA;2018
b6OGI;NA;NA;NA;NA;NA;NA;NA;NA;2013
G3Kli;NA;NA;NA;NA;NA;NA;NA;NA;2015
r58Mi;NA;NA;NA;NA;NA;NA;NA;NA;2014
PjXk0;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2016
PjXk0;NA;NA;NA;NA;NA;NA;NA;NA;2017
PjXk0;NA;NA;NA;NA;NA;NA;NA;NA;2018
OY6jC;NA;NA;NA;NA;NA;NA;NA;NA;2012
OY6jC;NA;NA;NA;NA;NA;NA;NA;NA;2013
eKq2+;NA;NA;NA;NA;NA;NA;NA;NA;2017
nmafq;NA;NA;NA;NA;NA;NA;NA;NA;2014
tno5x;5,00;0,00;1,00;4,00;8,00;0,33;1,00;3,60;2011
tno5x;8,00;10,00;0,60;9,00;NA;NA;NA;NA;2012
gWaKD;NA;NA;NA;NA;NA;NA;NA;NA;2012
WnUUA;10,00;8,33;1,00;9,00;NA;NA;NA;NA;2014
S7Adx;NA;NA;NA;NA;NA;NA;NA;NA;2012
UXguc;NA;NA;NA;NA;NA;NA;NA;NA;2011
3KSld;4,00;0,00;0,50;1,20;4,00;0,00;0,50;1,20;2011
3KSld;8,00;9,00;0,80;8,60;NA;NA;NA;NA;2012
exGx4;NA;NA;NA;NA;NA;NA;NA;NA;2015
7z5WR;NA;NA;NA;NA;NA;NA;NA;NA;2018
WVqRa;NA;NA;NA;NA;NA;NA;NA;NA;2011
WVqRa;NA;NA;NA;NA;NA;NA;NA;NA;2012
RqrdQ;NA;NA;NA;NA;NA;NA;NA;NA;2014
U0Vga;3,00;0,00;NA;0,90;4,00;0,00;NA;1,20;2012
U0Vga;7,00;0,00;0,00;2,10;3,00;NA;0,00;0,90;2013
RXQjk;NA;NA;NA;NA;NA;NA;NA;NA;2011
r3tHO;NA;NA;NA;NA;NA;NA;NA;NA;2011
c8w8G;8,00;8,33;0,60;8,00;NA;NA;NA;NA;2014
RUUPI;NA;NA;NA;NA;NA;NA;NA;NA;2013
e/P1y;NA;NA;NA;NA;NA;NA;NA;NA;2015
e8KL0;5,00;0,00;0,55;6,00;NA;NA;NA;NA;2011
DpHDr;NA;NA;NA;NA;NA;NA;NA;NA;2011
DpHDr;NA;NA;NA;NA;NA;NA;NA;NA;2013
1XLFQ;3,00;0,00;NA;0,90;NA;NA;NA;NA;2011
1XLFQ;9,00;7,00;0,00;7,00;NA;NA;NA;NA;2018
++x5+;4,00;0,00;NA;1,20;NA;NA;NA;NA;2011
dzXoN;NA;NA;NA;NA;NA;NA;NA;NA;2012
hINh+;NA;NA;NA;NA;NA;NA;NA;NA;2011
Hm9fl;NA;NA;NA;NA;NA;NA;NA;NA;2013
hC1+u;NA;NA;NA;NA;NA;NA;NA;NA;2012
vaqSk;NA;NA;NA;NA;NA;NA;NA;NA;2016
swhIi;NA;NA;NA;NA;NA;NA;NA;NA;2012
z+Y4e;7,00;3,00;0,75;5,00;NA;NA;NA;NA;2011
8+TSA;1,00;0,00;NA;0,30;4,00;0,00;NA;1,20;2011
8+TSA;NA;NA;NA;NA;NA;NA;NA;NA;2012
m75hr;NA;NA;NA;NA;NA;NA;NA;NA;2013
m75hr;NA;NA;NA;NA;NA;NA;NA;NA;2015
76zXM;6,00;1,08;0,55;3,00;NA;NA;NA;NA;2011
76zXM;8,00;5,00;0,80;6,20;NA;NA;NA;NA;2012
Tbcpg;NA;NA;NA;NA;NA;NA;NA;NA;2013
FgZxF;10,00;10,17;0,90;10,00;NA;NA;NA;NA;2017
GmhnH;NA;NA;NA;NA;NA;NA;NA;NA;2017
kimrW;NA;NA;NA;NA;NA;NA;NA;NA;2012
JqPzA;NA;NA;NA;NA;NA;NA;NA;NA;2017
M1y57;4,00;0,00;1,00;1,20;8,00;3,00;1,00;5,20;2011
lzZBl;NA;NA;NA;NA;NA;NA;NA;NA;2011
lzZBl;NA;NA;NA;NA;NA;NA;NA;NA;2012
lzZBl;NA;NA;NA;NA;NA;NA;NA;NA;2013
OadYU;7,00;4,08;0,95;5,50;NA;NA;NA;NA;2012
2jNIX;NA;NA;NA;NA;NA;NA;NA;NA;2012
h8/gI;8,00;7,67;0,00;7,00;NA;NA;NA;NA;2014
invMA;NA;NA;NA;NA;NA;NA;NA;NA;2014
EF4OK;NA;NA;NA;NA;NA;NA;NA;NA;2011
0TW3k;NA;NA;NA;NA;NA;NA;NA;NA;2015
PxQtj;6,00;5,00;0,50;5,30;NA;NA;NA;NA;2013
1+sOx;3,00;0,00;0,70;0,90;6,00;2,00;0,70;3,70;2011
1+sOx;7,00;3,17;1,00;5,00;NA;NA;NA;NA;2012
uOBva;6,00;3,83;0,90;5,00;NA;NA;NA;NA;2012
NhwN/;NA;NA;NA;NA;NA;NA;NA;NA;2011
NhwN/;NA;NA;NA;NA;NA;NA;NA;NA;2012
c8qeG;NA;NA;NA;NA;NA;NA;NA;NA;2012
fuHwP;NA;NA;NA;NA;NA;NA;NA;NA;2011
VN0gm;NA;NA;NA;NA;NA;NA;NA;NA;2013
WRoTv;NA;NA;NA;NA;NA;NA;NA;NA;2013
YOwFn;NA;NA;NA;NA;NA;NA;NA;NA;2011
DdRXi;NA;NA;NA;NA;NA;NA;NA;NA;2015
RBXmr;NA;NA;NA;NA;NA;NA;NA;NA;2017
HKCgI;NA;NA;NA;NA;NA;NA;NA;NA;2012
CvVWO;NA;NA;NA;NA;NA;NA;NA;NA;2012
Yg95Q;2,00;0,00;NA;0,60;NA;NA;NA;NA;2011
Upfwg;4,00;NA;1,00;1,20;NA;NA;NA;NA;2014
Upfwg;7,00;NA;1,00;8,00;NA;NA;NA;NA;2015
pChnv;NA;NA;NA;NA;NA;NA;NA;NA;2014
kr3p/;NA;NA;NA;NA;NA;NA;NA;NA;2012
gKUCo;NA;NA;NA;NA;NA;NA;NA;NA;2012
ShLf8;NA;NA;NA;NA;NA;NA;NA;NA;2016
4Ts5K;9,00;8,00;0,87;8,50;NA;NA;NA;NA;2018
7+mLo;NA;NA;NA;NA;NA;NA;NA;NA;2012
d+tcJ;NA;NA;NA;NA;NA;NA;NA;NA;2012
GcIQe;NA;NA;NA;NA;NA;NA;NA;NA;2018
rl2Rt;NA;NA;NA;NA;NA;NA;NA;NA;2011
uOox4;NA;NA;NA;NA;NA;NA;NA;NA;2013
7KDCo;NA;NA;NA;NA;NA;NA;NA;NA;2017
IghjH;NA;NA;NA;NA;NA;NA;NA;NA;2015
ae5j1;NA;NA;NA;NA;NA;NA;NA;NA;2012
3OGT3;NA;NA;NA;NA;NA;NA;NA;NA;2011
r8AWu;7,00;NA;0,00;2,10;NA;NA;NA;NA;2015
RQIq3;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2011
RQIq3;NA;NA;NA;NA;NA;NA;NA;NA;2013
AysBN;NA;NA;NA;NA;NA;NA;NA;NA;2012
U7txP;NA;NA;NA;NA;NA;NA;NA;NA;2012
0mwvU;NA;NA;NA;NA;NA;NA;NA;NA;2013
o/lB6;NA;NA;NA;NA;NA;NA;NA;NA;2012
o/lB6;NA;NA;NA;NA;NA;NA;NA;NA;2015
dvGwN;NA;NA;NA;NA;NA;NA;NA;NA;2012
29CJ4;NA;NA;NA;NA;NA;NA;NA;NA;2011
Dv8Z1;4,00;0,00;NA;1,20;NA;NA;NA;NA;2012
Dv8Z1;7,00;NA;0,00;2,10;NA;NA;NA;NA;2014
Dv8Z1;7,00;0,00;0,00;2,10;NA;NA;NA;NA;2017
GpL3/;NA;NA;NA;NA;NA;NA;NA;NA;2011
GpL3/;NA;NA;NA;NA;NA;NA;NA;NA;2012
GpL3/;NA;NA;NA;NA;NA;NA;NA;NA;2013
9x0DI;NA;NA;NA;NA;NA;NA;NA;NA;2014
dZzzm;9,00;9,17;0,80;9,00;NA;NA;NA;NA;2012
21TmU;6,00;5,33;0,00;5,00;NA;NA;NA;NA;2016
E3xoK;9,00;NA;0,00;6,30;NA;NA;NA;NA;2015
WscfR;NA;NA;NA;NA;NA;NA;NA;NA;2012
WscfR;NA;NA;NA;NA;NA;NA;NA;NA;2013
n2IBn;NA;NA;NA;NA;NA;NA;NA;NA;2018
asxVr;NA;NA;NA;NA;NA;NA;NA;NA;2012
QfxOS;NA;NA;NA;NA;NA;NA;NA;NA;2015
MllCW;7,00;0,00;NA;6,00;NA;NA;NA;NA;2011
PqHF5;NA;NA;NA;NA;NA;NA;NA;NA;2015
IWzLZ;NA;NA;NA;NA;NA;NA;NA;NA;2011
Iw6hE;3,00;0,00;0,00;0,90;NA;NA;NA;NA;2011
eRvt1;NA;NA;NA;NA;NA;NA;NA;NA;2014
W4ZCw;7,00;1,50;NA;3,00;NA;NA;NA;NA;2011
ILGU+;NA;NA;NA;NA;NA;NA;NA;NA;2014
V5+85;NA;NA;NA;NA;NA;NA;NA;NA;2014
NwlX9;NA;NA;NA;NA;NA;NA;NA;NA;2013
0cdso;NA;NA;NA;NA;NA;NA;NA;NA;2012
0cdso;NA;NA;NA;NA;NA;NA;NA;NA;2015
UWlxR;7,00;NA;1,00;5,00;NA;NA;NA;NA;2015
dz1p1;7,00;NA;0,00;2,10;10,00;6,00;0,00;7,00;2014
ftTnf;NA;NA;NA;NA;NA;NA;NA;NA;2012
vh/ri;NA;NA;NA;NA;NA;NA;NA;NA;2011
z376P;NA;NA;NA;NA;NA;NA;NA;NA;2011
rAVuL;9,00;NA;0,00;7,50;NA;NA;NA;NA;2015
xjaiE;NA;NA;NA;NA;NA;NA;NA;NA;2017
CcwAq;8,00;1,00;0,00;3,00;NA;NA;NA;NA;2012
0GZD+;NA;NA;NA;NA;NA;NA;NA;NA;2012
wmMWp;NA;NA;NA;NA;NA;NA;NA;NA;2015
ZxGlb;NA;NA;NA;NA;NA;NA;NA;NA;2018
LbFGS;NA;NA;NA;NA;NA;NA;NA;NA;2016
VYxhA;NA;NA;NA;NA;NA;NA;NA;NA;2012
qr3rL;NA;NA;NA;NA;NA;NA;NA;NA;2011
aOx0f;9,00;9,00;0,60;9,00;NA;NA;NA;NA;2018
M2ySk;7,00;NA;0,70;6,40;NA;NA;NA;NA;2015
RijCi;NA;NA;NA;NA;NA;NA;NA;NA;2011
SRjeY;4,00;0,00;0,00;1,20;5,00;0,00;0,00;1,50;2017
SRjeY;8,00;6,00;1,00;7,00;NA;NA;NA;NA;2018
pB+Nb;NA;NA;NA;NA;NA;NA;NA;NA;2017
pB+Nb;NA;NA;NA;NA;NA;NA;NA;NA;2018
EmpjQ;NA;NA;NA;NA;NA;NA;NA;NA;2015
wpuuC;7,00;0,00;0,00;2,10;NA;NA;NA;NA;2012
aW/Zy;NA;NA;NA;NA;NA;NA;NA;NA;2012
TE2cU;10,00;8,33;0,00;8,00;NA;NA;NA;NA;2013
V+tUl;NA;NA;NA;NA;NA;NA;NA;NA;2012
vuDxQ;NA;NA;NA;NA;NA;NA;NA;NA;2011
4R4+R;NA;NA;NA;NA;NA;NA;NA;NA;2015
H2ae8;NA;NA;NA;NA;NA;NA;NA;NA;2017
QMYkh;NA;NA;NA;NA;NA;NA;NA;NA;2018
C8m/R;6,00;0,00;0,00;1,80;NA;NA;NA;NA;2016
F0sI2;NA;NA;NA;NA;NA;NA;NA;NA;2013
eEpPX;3,00;NA;0,00;0,90;7,00;NA;0,00;2,10;2014
hmK4b;2,00;NA;0,00;0,60;NA;NA;NA;NA;2014
RbwDV;NA;NA;NA;NA;NA;NA;NA;NA;2017
5msax;NA;NA;NA;NA;NA;NA;NA;NA;2014
5fk7U;NA;NA;NA;NA;NA;NA;NA;NA;2012
3vDCV;NA;NA;NA;NA;NA;NA;NA;NA;2016
mWVM5;10,00;6,00;NA;6,60;NA;NA;NA;NA;2012
VLkXK;NA;NA;NA;NA;NA;NA;NA;NA;2018
xD2+e;2,00;0,00;0,00;0,60;NA;NA;NA;NA;2018
dlBYM;NA;NA;NA;NA;NA;NA;NA;NA;2015
ok+u4;NA;NA;NA;NA;NA;NA;NA;NA;2012
F80ld;NA;NA;NA;NA;6,00;NA;0,00;1,80;2013
F80ld;2,00;NA;0,00;0,60;NA;NA;NA;NA;2014
F80ld;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2016
F80ld;NA;NA;NA;NA;NA;NA;NA;NA;2018
R5Cb6;6,00;0,00;0,00;1,80;NA;NA;NA;NA;2016
yULNX;NA;NA;NA;NA;NA;NA;NA;NA;2011
yULNX;NA;NA;NA;NA;NA;NA;NA;NA;2012
yULNX;NA;NA;NA;NA;NA;NA;NA;NA;2013
hl1Oe;2,00;0,00;NA;0,60;NA;NA;NA;NA;2011
burWw;NA;NA;NA;NA;NA;NA;NA;NA;2015
VCWbK;NA;NA;NA;NA;NA;NA;NA;NA;2017
a0aOX;6,00;7,33;0,80;7,00;NA;NA;NA;NA;2011
j8gWw;NA;NA;NA;NA;NA;NA;NA;NA;2014
DRmJM;5,00;0,00;NA;1,50;NA;NA;NA;NA;2012
0Y/u+;8,00;NA;1,00;8,00;NA;NA;NA;NA;2015
l9YMj;NA;NA;NA;NA;NA;NA;NA;NA;2013
l9YMj;NA;NA;NA;NA;NA;NA;NA;NA;2014
5/D4H;9,00;8,83;1,00;9,00;NA;NA;NA;NA;2017
rXKJu;NA;NA;NA;NA;NA;NA;NA;NA;2012
rXKJu;NA;NA;NA;NA;NA;NA;NA;NA;2013
tDRDR;NA;NA;NA;NA;NA;NA;NA;NA;2012
CksQI;NA;NA;NA;NA;NA;NA;NA;NA;2016
DeXow;NA;NA;NA;NA;NA;NA;NA;NA;2014
NeEOR;NA;NA;NA;NA;NA;NA;NA;NA;2011
ZuIaS;5,00;NA;0,00;1,50;NA;NA;NA;NA;2015
Vcnru;NA;NA;NA;NA;9,00;2,40;0,00;5,10;2013
oRUbS;NA;NA;NA;NA;NA;NA;NA;NA;2018
e4/+W;NA;NA;NA;NA;NA;NA;NA;NA;2017
/xj29;6,00;0,00;NA;1,80;NA;NA;NA;NA;2011
v1FxR;10,00;8,33;1,00;9,00;NA;NA;NA;NA;2013
uvyMn;6,00;1,50;0,60;3,30;NA;NA;NA;NA;2011
InD7v;4,00;0,00;NA;1,20;NA;NA;NA;NA;2012
4fxch;NA;NA;NA;NA;7,00;0,00;NA;2,10;2012
Uf8X8;NA;NA;NA;NA;NA;NA;NA;NA;2011
Uf8X8;4,00;NA;1,00;1,20;NA;NA;NA;NA;2014
NNjUI;NA;NA;NA;NA;NA;NA;NA;NA;2013
mC1Np;NA;NA;NA;NA;NA;NA;NA;NA;2013
+5a+i;NA;NA;NA;NA;NA;NA;NA;NA;2012
Xh8qB;NA;NA;NA;NA;NA;NA;NA;NA;2013
nRuhY;NA;NA;NA;NA;NA;NA;NA;NA;2013
f1Hkh;7,00;10,00;0,90;9,00;NA;NA;NA;NA;2012
rzmo+;NA;NA;NA;NA;NA;NA;NA;NA;2016
xko1c;5,00;0,00;NA;1,50;5,00;0,00;NA;1,50;2011
1qJ+z;NA;NA;NA;NA;NA;NA;NA;NA;2012
23tYm;NA;NA;NA;NA;NA;NA;NA;NA;2012
23tYm;NA;NA;NA;NA;NA;NA;NA;NA;2013
Sr5AY;NA;NA;NA;NA;NA;NA;NA;NA;2013
gUVDI;NA;NA;NA;NA;NA;NA;NA;NA;2011
gUVDI;NA;NA;NA;NA;NA;NA;NA;NA;2012
yHBV+;NA;NA;NA;NA;NA;NA;NA;NA;2011
oZhiS;1,00;0,00;NA;0,30;NA;NA;NA;NA;2011
xNVnI;NA;NA;NA;NA;NA;NA;NA;NA;2018
v6jst;NA;NA;NA;NA;NA;NA;NA;NA;2016
O4qfK;5,00;0,00;0,70;1,50;NA;NA;NA;NA;2012
Mk3h6;NA;NA;NA;NA;NA;NA;NA;NA;2016
Koar5;NA;NA;NA;NA;NA;NA;NA;NA;2018
fPS4Z;9,00;7,17;1,00;8,00;NA;NA;NA;NA;2016
Nv6tc;8,00;8,00;0,80;8,00;NA;NA;NA;NA;2013
sNXzj;NA;NA;NA;NA;NA;NA;NA;NA;2015
hmaCm;8,00;7,67;0,00;7,00;NA;NA;NA;NA;2012
42oe3;NA;NA;NA;NA;NA;NA;NA;NA;2018
23DPD;NA;NA;NA;NA;NA;NA;NA;NA;2011
PwsOG;NA;NA;NA;NA;NA;NA;NA;NA;2013
PwsOG;NA;NA;NA;NA;NA;NA;NA;NA;2014
gk3jF;2,00;0,00;0,00;0,60;NA;NA;NA;NA;2011
iSZp2;9,00;2,00;NA;3,90;NA;NA;NA;NA;2012
iSZp2;7,00;0,00;0,00;2,10;6,00;NA;0,00;1,80;2013
KGINN;NA;NA;NA;NA;NA;NA;NA;NA;2018
bRBEm;NA;NA;NA;NA;NA;NA;NA;NA;2011
bRBEm;7,00;0,00;NA;2,10;3,00;0,00;NA;0,90;2012
bRBEm;7,00;7,00;0,70;7,00;NA;NA;NA;NA;2013
0/qZo;7,00;10,00;0,90;9,00;NA;NA;NA;NA;2011
W5HWi;2,00;0,00;0,00;0,60;NA;NA;NA;NA;2011
A2H14;NA;NA;NA;NA;NA;NA;NA;NA;2013
A2H14;NA;NA;NA;NA;NA;NA;NA;NA;2017
NPKd5;NA;NA;NA;NA;NA;NA;NA;NA;2015
Y0Vbu;NA;NA;NA;NA;NA;NA;NA;NA;2011
TH/6U;NA;NA;NA;NA;NA;NA;NA;NA;2015
9Eetd;10,00;5,33;0,80;7,00;NA;NA;NA;NA;2012
PUE9U;6,00;0,00;0,00;1,80;NA;NA;NA;NA;2011
qMcqa;NA;NA;NA;NA;NA;NA;NA;NA;2013
tswhh;NA;NA;NA;NA;NA;NA;NA;NA;2012
7KYfl;4,00;0,00;NA;1,20;NA;NA;NA;NA;2012
e8jhP;NA;NA;NA;NA;NA;NA;NA;NA;2011
gtW2H;NA;NA;NA;NA;NA;NA;NA;NA;2016
gtW2H;NA;NA;NA;NA;NA;NA;NA;NA;2017
Uy1fD;6,00;0,00;NA;1,80;NA;NA;NA;NA;2011
mEO/W;2,00;0,00;0,00;0,60;NA;NA;NA;NA;2017
BoG4I;NA;NA;NA;NA;NA;NA;NA;NA;2013
Byh58;NA;NA;NA;NA;NA;NA;NA;NA;2014
enh/R;4,00;0,00;0,80;1,20;6,00;4,40;0,80;7,00;2013
bqcnw;2,00;0,00;NA;0,60;NA;NA;NA;NA;2011
kD0+l;NA;NA;NA;NA;NA;NA;NA;NA;2018
Gny1v;NA;NA;NA;NA;NA;NA;NA;NA;2012
mpsCg;NA;NA;NA;NA;NA;NA;NA;NA;2013
TEjo9;NA;NA;NA;NA;NA;NA;NA;NA;2018
l9CDM;7,00;9,00;0,80;8,30;NA;NA;NA;NA;2016
vHLCf;NA;NA;NA;NA;NA;NA;NA;NA;2017
vHLCf;NA;NA;NA;NA;NA;NA;NA;NA;2018
Pz49D;NA;NA;NA;NA;NA;NA;NA;NA;2012
Pz49D;NA;NA;NA;NA;NA;NA;NA;NA;2013
ezuTO;7,00;6,00;1,00;7,00;NA;NA;NA;NA;2018
TcqCE;NA;NA;NA;NA;NA;NA;NA;NA;2016
G/kUP;5,00;0,00;0,70;4,00;7,00;4,00;0,70;5,20;2011
ngbY2;8,00;NA;0,60;6,60;NA;NA;NA;NA;2015
b24eb;NA;NA;NA;NA;NA;NA;NA;NA;2012
gsBIK;NA;NA;NA;NA;NA;NA;NA;NA;2014
YzOKi;9,00;5,00;0,60;6,30;NA;NA;NA;NA;2017
zSBWu;8,00;7,67;1,00;8,00;NA;NA;NA;NA;2016
/fWQR;5,00;0,00;0,00;1,50;7,00;NA;0,00;2,10;2013
wfs2w;NA;NA;NA;NA;NA;NA;NA;NA;2014
QMtHK;8,00;NA;1,00;9,10;NA;NA;NA;NA;2015
r9Pww;NA;NA;NA;NA;NA;NA;NA;NA;2016
zX+HD;NA;NA;NA;NA;NA;NA;NA;NA;2013
rpihP;NA;NA;NA;NA;NA;NA;NA;NA;2011
T+lIn;2,00;NA;0,00;0,60;NA;NA;NA;NA;2014
T+lIn;3,00;0,00;0,00;0,90;4,00;0,00;0,00;1,20;2016
jmv4g;6,00;0,00;0,00;1,80;NA;NA;NA;NA;2018
TWFEe;NA;NA;NA;NA;NA;NA;NA;NA;2016
xf0/S;NA;NA;NA;NA;NA;NA;NA;NA;2015
OKsCX;NA;NA;NA;NA;NA;NA;NA;NA;2013
OKsCX;5,00;NA;0,00;1,50;NA;NA;NA;NA;2014
OKsCX;6,00;2,00;0,80;3,80;NA;NA;NA;NA;2016
KDioZ;8,00;0,00;0,00;2,40;NA;NA;NA;NA;2017
2o/z7;2,00;0,00;0,00;0,60;NA;NA;NA;NA;2011
X5yoi;8,00;NA;0,00;3,60;8,00;4,33;0,00;5,00;2015
VladN;8,00;2,00;0,80;4,40;NA;NA;NA;NA;2013
cQS8q;NA;NA;NA;NA;NA;NA;NA;NA;2012
r723V;NA;NA;NA;NA;NA;NA;NA;NA;2012
2CffX;7,00;NA;0,70;7,00;NA;NA;NA;NA;2015
QTQCL;NA;NA;NA;NA;NA;NA;NA;NA;2014
K/EZJ;NA;NA;NA;NA;NA;NA;NA;NA;2014
K/EZJ;NA;NA;NA;NA;NA;NA;NA;NA;2015
p79Fx;NA;NA;NA;NA;NA;NA;NA;NA;2011
efaXe;5,00;0,00;0,00;1,50;NA;NA;NA;NA;2013
7NUqe;NA;NA;NA;NA;NA;NA;NA;NA;2013
EDJro;NA;NA;NA;NA;NA;NA;NA;NA;2014
EDJro;NA;NA;NA;NA;NA;NA;NA;NA;2015
eoAoN;10,00;10,00;0,70;9,70;NA;NA;NA;NA;2012
jTlzL;NA;NA;NA;NA;NA;NA;NA;NA;2011
RX5ld;NA;NA;NA;NA;NA;NA;NA;NA;2014
RX5ld;NA;NA;NA;NA;NA;NA;NA;NA;2015
vUbjI;NA;NA;NA;NA;NA;NA;NA;NA;2011
vUbjI;NA;NA;NA;NA;NA;NA;NA;NA;2012
i8Ac3;NA;NA;NA;NA;NA;NA;NA;NA;2015
I6WGZ;NA;NA;NA;NA;NA;NA;NA;NA;2012
sW/sJ;8,00;8,00;0,90;8,10;NA;NA;NA;NA;2012
W5ZnB;NA;NA;NA;NA;NA;NA;NA;NA;2011
W5ZnB;NA;NA;NA;NA;NA;NA;NA;NA;2012
W5ZnB;NA;NA;NA;NA;7,00;1,90;1,00;5,00;2013
n6EwM;NA;NA;NA;NA;NA;NA;NA;NA;2012
+Rhtg;NA;NA;NA;NA;7,00;0,00;NA;2,10;2012
a9Flo;NA;NA;NA;NA;NA;NA;NA;NA;2011
YJ2ST;NA;NA;NA;NA;NA;NA;NA;NA;2013
ZKyyb;NA;NA;NA;NA;NA;NA;NA;NA;2012
ZKyyb;NA;NA;NA;NA;NA;NA;NA;NA;2013
ZKyyb;NA;NA;NA;NA;NA;NA;NA;NA;2014
2HI4z;NA;NA;NA;NA;NA;NA;NA;NA;2011
2HI4z;NA;NA;NA;NA;NA;NA;NA;NA;2014
7vPNc;NA;NA;NA;NA;NA;NA;NA;NA;2013
7vPNc;NA;NA;NA;NA;5,00;0,00;5,83;5,00;2016
G5/e/;NA;NA;NA;NA;NA;NA;NA;NA;2014
G5/e/;NA;NA;NA;NA;NA;NA;NA;NA;2015
uWm3D;NA;NA;NA;NA;NA;NA;NA;NA;2016
gtm2Y;NA;NA;NA;NA;NA;NA;NA;NA;2011
w3Row;9,00;9,00;NA;8,10;NA;NA;NA;NA;2012
lVOAB;NA;NA;NA;NA;NA;NA;NA;NA;2018
ITIRZ;NA;NA;NA;NA;NA;NA;NA;NA;2011
1Zo7Z;NA;NA;NA;NA;NA;NA;NA;NA;2014
Blecx;NA;NA;NA;NA;NA;NA;NA;NA;2015
EURSe;10,00;10,00;1,00;10,00;NA;NA;NA;NA;2013
Kjj5O;NA;NA;NA;NA;NA;NA;NA;NA;2014
Kjj5O;NA;NA;NA;NA;NA;NA;NA;NA;2015
Kjj5O;NA;NA;NA;NA;NA;NA;NA;NA;2016
RAZHn;NA;NA;NA;NA;NA;NA;NA;NA;2011
RAZHn;NA;NA;NA;NA;NA;NA;NA;NA;2012
ri7k1;3,00;0,00;0,00;0,90;NA;NA;NA;NA;2013
ri7k1;NA;NA;NA;NA;NA;NA;NA;NA;2014
sXLzs;NA;NA;NA;NA;NA;NA;NA;NA;2015
5RW7q;NA;NA;NA;NA;NA;NA;NA;NA;2013
5RW7q;NA;NA;NA;NA;NA;NA;NA;NA;2015
SJZ9S;NA;NA;NA;NA;NA;NA;NA;NA;2011
SJZ9S;NA;NA;NA;NA;NA;NA;NA;NA;2013
SJZ9S;NA;NA;NA;NA;NA;NA;NA;NA;2014
SJZ9S;NA;NA;NA;NA;NA;NA;NA;NA;2015
5iXFD;NA;NA;NA;NA;NA;NA;NA;NA;2011
BTX/d;10,00;7,00;1,00;8,20;NA;NA;NA;NA;2013
E5x6H;2,00;0,00;0,90;0,60;NA;NA;NA;NA;2011
E5x6H;4,00;0,00;0,00;1,20;NA;NA;NA;NA;2012
E5x6H;NA;NA;NA;NA;NA;NA;NA;NA;2013
gSAjF;NA;NA;NA;NA;NA;NA;NA;NA;2015
gSAjF;NA;NA;NA;NA;NA;NA;NA;NA;2017
kVeBL;NA;NA;NA;NA;NA;NA;NA;NA;2014
kVeBL;NA;NA;NA;NA;NA;NA;NA;NA;2015
kNCBp;NA;NA;NA;NA;NA;NA;NA;NA;2011
